Serial,Year,Startup,Industry Vertical,Location,Investors,InvestmentType,Amount
2487,2017,Credifiable,Consumer Internet,Bangalore,Kae Capital,Private Equity,NA
2488,2017,Inclov,Consumer Internet,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,NA
2489,2017,Multibhashi,Consumer Internet,Bangalore,"Aniruddha Malpani, Startup Oasis",Seed Funding,NA
2490,2017,Transerve,Technology,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,"16,00,000"
2491,2017,Fashalot,Consumer Internet,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,NA
2492,2017,Pitstop,Consumer Internet,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,"10,00,000"
2493,2017,GoChoppers,Consumer Internet,Gurgaon,"Rivergate Capital,",Seed Funding,NA
2494,2017,MyUpchar,Consumer Internet,New Delhi,LetsVenture,Seed Funding,"3,00,000"
2495,2017,Aadyah,Technology,Bangalore,Keiretsu Forum,Private Equity,"10,00,000"
2496,2017,ChqBook,Consumer Internet,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,NA
2497,2017,HomeCapital,Consumer Internet,Mumbai,Venture Catalysts,Seed Funding,NA
2498,2017,Ola Cabs,Consumer Internet,Bangalore,"Tencent, Softbank Group",Private Equity,"11,00,00,000"
2499,2017,Elanic,Consumer Internet,Bangalore,Digital Garage,Seed Funding,NA
2500,2017,CollPoll,Consumer Internet,Bangalore,Sprout Angels,Seed Funding,"3,06,000"
2501,2017,PhonePe,Consumer Internet,Bangalore,Flipkart,Private Equity,"3,87,00,000"
2502,2017,Little Black Book,Consumer Internet,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,"10,00,000"
2503,2017,Oorjan,Technology,Mumbai,Globevestor,Seed Funding,"4,50,000"
