Serial,Year,Startup,Industry Vertical,Location,Investors,InvestmentType,Amount
1409,2016,ExtraaEdge,Consumer Internet,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,NA
1410,2016,EPayLater,Technology,Mumbai,3 undisclosed HNIs,Seed Funding,"20,00,000"
1411,2016,Kyazoonga,eCommerce,Mumbai,Ratan Tata,Seed Funding,NA
1412,2016,Paytunes,Consumer Internet,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,"5,00,000"
1413,2016,Kickstart Jobs,Technology,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,NA
1414,2016,Freshee,FMCG,Mumbai,Edelweiss Private Equity,Private Equity,NA
1415,2016,MadRat Games,Technology,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,NA
1416,2016,Jazzmyride,eCommerce,New Delhi,TVS Automobile Solutions Ltd,Private Equity,NA
1417,2016,AutoSense,Technology,New Delhi,TVS Automobile Solutions Ltd,Private Equity,NA
1418,2016,Redsun Telematics,Consumer Internet,Chennai,TVS Automobile Solutions Ltd,Private Equity,NA
1419,2016,KhanaGadi,Consumer Internet,Jaipur,50K Ventures,Seed Funding,NA
1420,2016,Bombay Shirt Company,eCommerce,Mumbai,undisclosed investor,Private Equity,"10,00,000"
1421,2016,Matrubharti,Consumer Internet,NA,Viridian Capital,Seed Funding,"30,000"
1422,2016,EdTechReview,Consumer Internet,New Delhi,EVC Ventures,Seed Funding,NA
1423,2016,Bonhomia,Food & Beverage,New Delhi,Valpro Capital and existing investors,Private Equity,NA
1424,2016,Gobolt,Logistics,New Delhi,MCube8,Seed Funding,NA
1425,2016,Jivox,Technology,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,"60,00,000"
1426,2016,Sminq,Consumer Internet,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,"10,00,000"
1427,2016,CureJoy,Consumer Internet,Bangalore,Accel Partners India,Private Equity,"44,00,000"
1428,2016,Oneway.cab,Consumer Internet,Vadodara,Indian Angel Network,Seed Funding,"4,50,000"
1429,2016,GrabOnRent,eCommerce,Bangalore,IvyCap Ventures and Unicorn India Ventures,Private Equity,NA
1430,2016,Diro Labs,Consumer Internet,New Delhi,Info Edge (India) Ltd,Private Equity,"4,50,000"
1431,2016,Unnati Helpers,Consumer Internet,Gurgaon,Info Edge (India) Ltd,Private Equity,"6,00,000"
1432,2016,Athletto,Consumer Internet,Bangalore,Atul Ingle,Seed Funding,NA
1433,2016,Saavn,Consumer Internet,USA,Guy Oseary,Private Equity,NA
1434,2016,Voonik,eCommerce,Bangalore,Sequoia Capital,Private Equity,"2,00,00,000"
1435,2016,ThinkPhi,Technology,Mumbai,Nimmagadda Prasad,Seed Funding,NA
1436,2016,Cleartax,Consumer Internet,New Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,"1,20,00,000"
1437,2016,Silvan Innovation Labs,Technology,Bangalore,Infuse Ventures,Private Equity,"9,00,000"
1438,2016,GreytHR,Technology,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,"52,00,000"
1439,2016,Duffl,eCommerce,Bangalore,BetOnIndia Technology Pvt Ltd,Seed Funding,NA
1440,2016,BYG,Consumer Internet,Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed Funding,NA
1441,2016,Dipper,eCommerce,New Delhi,Undisclosed investor,Seed Funding,NA
1442,2016,Qonfuse,Consumer Internet,New Delhi,Hamraj Kumar,Seed Funding,NA
1443,2016,The Indian IRIS,Consumer Internet,Ahmedabad,Timbru Ventures,Seed Funding,NA
1444,2016,Onspoon,Consumer Internet,Mumbai,Swan Angel Network,Seed Funding,"1,50,000"
1445,2016,REstate,Consumer Internet,Bangalore,Idein Ventures,Seed Funding,NA
1446,2016,Cleartrip,Consumer Internet,Mumbai,"Concur Technologies, Gund Investment",Private Equity,NA
1447,2016,ProcMart,Consumer Internet,Noida,IndiaMart,Private Equity,NA
1448,2016,Celerix,Technology,Bangalore,Bitkemy Ventures,Seed Funding,"4,00,000"
1449,2016,NatureNama,Consumer Internet,Mumbai,Unicorn Venture,Seed Funding,"2,25,000"
1450,2016,CyclopsMedtech,Technology,Bangalore,CP Bothra,Seed Funding,NA
1451,2016,Syona Cosmetics,FMCG,Chennai,The Chennai Angels,Seed Funding,"1,50,000"
1452,2016,PrettySecrets,eCommerce,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,"60,00,000"
1453,2016,SpiderG,Consumer Internet,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,"1,50,000"
1454,2016,FarEye,Technology,New Delhi,Saif Partners,Private Equity,"35,00,000"
1455,2016,The Uolo,Consumer Internet,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,"2,10,000"
1456,2016,Staqu,Technology,Gurgaon,Indian Angel Network,Seed Funding,NA
1457,2016,Padhopadhao,Consumer Internet,New Delhi,Rise India,Private Equity,NA
1458,2016,Drivify,Consumer Internet,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,"50,000"
1459,2016,PratiLipi,Consumer Internet,Bangalore,Nexus Venture Partners,Seed Funding,NA
1460,2016,ParaBlu,Technology,Bangalore,Kalaari Capital,Seed Funding,"5,00,000"
1461,2016,Schedulers Logistics,Logistics,Mumbai,GVFL,Private Equity,"60,00,000"
1462,2016,LEAP India,Others,Mumbai,Mayfield Ventures,Private Equity,"30,00,000"
1463,2016,KabadiExpress,Others,New Delhi,Undisclosed investor,Seed Funding,"1,48,000"
1464,2016,YourDost,Consumer Internet,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,"12,00,000"
1465,2016,Gomalon,Consumer Internet,Bangalore,Undisclosed investor,Seed Funding,"1,00,000"
1466,2016,Voler Cars,Consumer Internet,New Delhi,"Kanodia family, Amit Banka",Seed Funding,NA
1467,2016,Travelyaari,Consumer Internet,Bangalore,GVFL Ltd,Private Equity,"30,00,000"
1468,2016,FabHotels,Consumer Internet,Gurgaon,"Accel Partners, RB Investments",Private Equity,"80,00,000"
1469,2016,Locanix,Technology,Ahmedabad,Undisclosed investors,Seed Funding,"3,00,000"
1470,2016,LendingKart,Consumer Internet,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,"3,20,00,000"
1471,2016,Hello Tax,Consumer Internet,New Delhi,Sanjeev Sinha,Seed Funding,"2,95,000"
1472,2016,MySuperBrain,Consumer Internet,Hyderabad,Soniks Consulting,Seed Funding,NA
1473,2016,BlogBeats,Consumer Internet,Bangalore,Undisclosed Investor,Seed Funding,NA
1474,2016,LetReach,eCommerce,New Delhi,vCommission,Private Equity,"1,00,000"
1475,2016,TrendieApp,Technology,Kolkata,Harsh Vardhan Hada,Seed Funding,"50,000"
1476,2016,ImpactGuru,Consumer Internet,Mumbai,Piyush Jain,Seed Funding,NA
1477,2016,Velvetcase,eCommerce,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,"15,00,000"
1478,2016,Meru Cabs,Consumer Internet,Mumbai,Brand Capital,Private Equity,"2,50,00,000"
1479,2016,Campus Diaries,Consumer Internet,Bangalore,Aarin Capital,Seed Funding,"2,20,000"
1480,2016,Scripbox,Consumer Internet,Bangalore,"Omidyar Network, Accel Partners & existing investors",Private Equity,NA
1481,2016,Biryani Blues,Food & Beverage,Gurgaon,Carpediem Capital & Others,Private Equity,"3,68,000"
1482,2016,RazorPay,Consumer Internet,Bangalore,MasterCard,Private Equity,NA
1483,2016,DarwinBox,Technology,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,NA
1484,2016,Venture Catalysts,Consumer Internet,Mumbai,Zaffiro Ventures,Seed Funding,"5,00,000"
1485,2016,PressPlay TV,Consumer Internet,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,NA
1486,2016,Playment,Consumer Internet,Bangalore,SAIF Partners,Private Equity,"7,00,000"
1487,2016,WealthTrust,Consumer Internet,Mumbai,India Quotient,Seed Funding,NA
1488,2016,Curefit,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,"1,50,00,000"
1489,2016,StitchWood,eCommerce,Mumbai,Deepak Gupta,Seed Funding,"2,00,000"
1490,2016,Grab.in,Logistics,Mumbai,Aramex Ventures Llc,Private Equity,"20,00,000"
1491,2016,Fulfil.IO,Consumer Internet,US,Rajan Anandan,Seed Funding,NA
1492,2016,NeoGrowth,Finance,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,"1,60,00,000"
1493,2016,SeeDoc,Consumer Internet,Gurgaon,YourNest Angel Fund  & Others,Private Equity,"10,00,000"
1494,2016,BookMyShow,Consumer Internet,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,"8,20,00,000"
1495,2016,Flyrobe,eCommerce,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,  Abhishek Jain",Seed Funding,"17,00,000"
1496,2016,HappilyUnmarried,eCommerce,New Delhi,Info Edge (India) Ltd,Private Equity,"7,40,000"
1497,2016,Don’t Scratch Your Head,Technology,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,"2,50,000"
1498,2016,Wedding Wishlist,Consumer Internet,Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,"2,97,000"
1499,2016,AppDaily,Technology,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,"20,00,000"
1500,2016,Adytude,Consumer Internet,New Delhi,Indian Angel Network,Private Equity,"10,00,000"
1501,2016,Quickli,Logistics,Gurgaon,"AVG Group, 500 Startups",Private Equity,NA
1502,2016,SpectraVR,Technology,Mumbai,Rothenberg Ventures,Seed Funding,NA
1503,2016,Pitstop,Consumer Internet,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,NA
1504,2016,HolaChef,Consumer Internet,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"19,50,000"
1505,2016,Purplle,eCommerce,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,"60,00,000"
1506,2016,Trak N Tell,Technology,Gurgaon,Brian Acton,Private Equity,"35,00,000"
1507,2016,Overcart.com,eCommerce,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,"30,00,000"
1508,2016,SirionLabs,Technology,Gurgaon,Sequoia Capital,Private Equity,"1,22,50,000"
1509,2016,GyanDhan,Consumer Internet,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,NA
1510,2016,MintM,Consumer Internet,Bangalore,"Mumbai Angels,  Times Internet",Private Equity,NA
1511,2016,HitGrit,Consumer Internet,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,NA
1512,2016,Find My Stay,Consumer Internet,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,NA
1513,2016,YAAP,Consumer Internet,New Delhi,Rainmaker Ventures,Private Equity,"50,00,000"
1514,2016,Utoo Cabs,Consumer Internet,Chennai,Ajay Piramal,Seed Funding,NA
1515,2016,Twigly,Consumer Internet,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,"6,00,000"
1516,2016,ShareChat,Consumer Internet,Bangalore,"SAIF Partners, India Quotient",Private Equity,"13,50,000"
1517,2016,Urban Tailor,Consumer Internet,Bangalore,Unitus Seed Fund,Private Equity,NA
1518,2016,RentMojo,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,"50,00,000"
1519,2016,CityFurnish,Consumer Internet,Gurgaon,Brand Capital,Seed Funding,NA
1520,2016,HEAL Institute,Healthcare,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,NA
1521,2016,Augrav,eCommerce,Coimbatore,Keiretsu Forum,Seed Funding,"4,50,000"
1522,2016,ShoppinPal,Technology,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,"10,70,000"
1523,2016,TransTutors/AskIITians,Consumer Internet,New Delhi,500 Startups,Private Equity,NA
1524,2016,WorkApps,Technology,Pune,SRI Capital,Seed Funding,"10,00,000"
1525,2016,BankerBay,Consumer Internet,Bangalore,undisclosed investors,Private Equity,"20,00,000"
1526,2016,BaggOut,eCommerce,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,NA
1527,2016,TripShelf,eCommerce,New Delhi,GEMS group,Seed Funding,"2,50,000"
1528,2016,SatvaCart,eCommerce,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,NA
1529,2016,Ridlr,Consumer Internet,Mumbai,"Times Internet,Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,"60,00,000"
1530,2016,Yellowdig,Consumer Internet,Pune,SRI Capital,Seed Funding,"6,50,000"
1531,2016,Zuppler,Consumer Internet,New Delhi,SRI Capital,Seed Funding,"6,50,000"
1532,2016,BlueStone,eCommerce,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,"3,00,00,000"
1533,2016,underDOGS,Technology,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,NA
1534,2016,ImageProVision,Technology,Pune,Satish Jamdar,Seed Funding,NA
1535,2016,Sagacito,Technology,New Delhi,Star India Pvt. Ltd,Private Equity,"1,00,00,000"
1536,2016,Deal4Loans/Wishfin,Consumer Internet,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,"1,50,00,000"
1537,2016,NiYO Solutions,Technology,Bangalore,Prime Venture Partners,Private Equity,"10,00,000"
1538,2016,AppLop,Consumer Internet,Gurgaon,Green House Ventures Accelerator,Seed Funding,"2,50,000"
1539,2016,Tax2Win,Consumer Internet,Jaipur,Undisclosed Investors,Private Equity,"10,00,000"
1540,2016,Truckola,Logistics,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,"5,95,000"
1541,2016,iServe Financial,Consumer Internet,Pune,Nilesh Shah,Seed Funding,NA
1542,2016,MyTaxiIndia,Consumer Internet,New Delhi,Nihon Kotsu Co,Private Equity,"10,00,000"
1543,2016,AbeRuk,eCommerce,Bangalore,Swastika Company Pvt Ltd,Seed Funding,NA
1544,2016,Wiwigo,Consumer Internet,Bangalore,Indian Angel Network,Seed Funding,"5,95,000"
1545,2016,Drums Food,Food & Beverage,Mumbai,"Verlinvest, DSG Consumer Partners",Private Equity,"66,00,000"
1546,2016,Treebo Hotels,Consumer Internet,Bangalore,"Bertelsmann India Investments, SAIF Partners, Matrix Partners India.",Private Equity,"1,67,00,000"
1547,2016,Skrilo,Consumer Internet,Gurgaon,"Anuj Srivastava, Arvind Tiku",Seed Funding,"15,00,000"
1548,2016,UrDoorStep,Consumer Internet,Bangalore,CP Murali,Seed Funding,"3,00,000"
1549,2016,SimplyMoveIn,eCommerce,Bangalore,Swastika Company Ltd,Seed Funding,NA
1550,2016,QwikCilver,Consumer Internet,Bangalore,"Sistema Asia Fund, Amazon Asia-Pacific, Accel India, Helion Venture Partners",Private Equity,"1,00,00,000"
1551,2016,QDesk,Consumer Internet,New Delhi,"Anuraag Jaipuria, Rishi Kajaria, Ruchirans Jaipuria, Dheeraj Jain, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,NA
1552,2016,10i Commerce Services,Technology,Bangalore,Nandan Nilekani,Seed Funding,NA
1553,2016,Lucideus,Technology,New Delhi,Sanjay Baweja,Seed Funding,NA
1554,2016,WakoW,Consumer Internet,New Delhi,Undisclosed Investor,Seed Funding,"1,41,000"
1555,2016,Zoom Car,Consumer Internet,Bangalore,"Ford Motor Company, Sequoia Capital, Reliance Ventures",Private Equity,"2,50,00,000"
1556,2016,e27,Consumer Internet,Singapore,TechTemple Group,Private Equity,"22,00,000"
1557,2016,Big Deal,Consumer Internet,New Delhi,EVC Ventures,Seed Funding,"1,00,000"
1558,2016,Square Plums,Consumer Internet,Bangalore,Indian Angel Network,Seed Funding,"4,46,000"
1559,2016,IStyleyou,Consumer Internet,Gurgaon,Rannvijay Singh,Seed Funding,NA
1560,2016,Mezi,Consumer Internet,SFO,"Nexus Venture Partners, Saama Capital, American Express Ventures",Private Equity,"90,00,000"
1561,2016,Byndr,Consumer Internet,Hyderabad,Education Design Studio,Seed Funding,"7,00,000"
1562,2016,Modasta,Consumer Internet,Bangalore,Undisclosed HNIs,Seed Funding,"15,00,000"
1563,2016,MaxWholesale,eCommerce,New Delhi,"Maple Capital Advisors, Abhinav Grover",Seed Funding,"1,50,000"
1564,2016,Neuron,Technology,New Delhi,"Harvinder Singh Bhatia, TLabs Accelerator",Seed Funding,"2,00,000"
1565,2016,Tiyo,Consumer Internet,Kolkata,"Anish K, Ajith Nair",Seed Funding,"1,20,000"
1566,2016,GoCoop,eCommerce,Bangalore,"Kris Gopalakrishnan, Saha Fund",Private Equity,"8,30,000"
1567,2016,Lemon Leaf,Technology,New Delhi,"Saurabh Sahni, Tushar Gupta",Seed Funding,"1,33,000"
1568,2016,Appsay,Consumer Internet,Pune,"Shreyans Shah, Mayank Shah",Seed Funding,"1,50,000"
1569,2016,Fella Homes,Consumer Internet,Gurgaon,Undisclosed investors,Seed Funding,"20,00,000"
1570,2016,HelloDhobi,Consumer Internet,Pune,Swastika Company Ltd,Seed Funding,NA
1571,2016,HealthKart,eCommerce,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,"1,20,00,000"
1572,2016,Medinfi,Consumer Internet,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,"2,00,000"
1573,2016,RepairEasy,Consumer Internet,Pune,Undisclosed HNIs,Seed Funding,"2,75,000"
1574,2016,Voonik,eCommerce,Bangalore,InnoVen Capital,Private Equity,"30,00,000"
1575,2016,Tokri,Consumer Internet,Pune,Syska LED group,Private Equity,"25,00,000"
1576,2016,Sheroes,Consumer Internet,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,"18,00,000"
1577,2016,Daily Ninja,Consumer Internet,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,NA
1578,2016,Yumlane,Food & Beverage,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,"10,00,000"
1579,2016,Xcode,Healthcare,Chennai,RoundGlass Partners,Private Equity,NA
1580,2016,ExtraCarbon,Consumer Internet,Gurgaon,Brand Capital,Seed Funding,"2,25,000"
1581,2016,FlickBay,Consumer Internet,Mumbai,Paul Roy,Seed Funding,"8,90,000"
1582,2016,Petoo,Consumer Internet,Bangalore,Existing Investors,Seed Funding,"5,00,000"
1583,2016,lehlehsports,Others,New Delhi,Anglian Omega Network,Seed Funding,NA
1584,2016,Tricog,Healthcare,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,NA
1585,2016,VST Travels,Technology,Kerala,Promatus Group,Seed Funding,"27,000"
1586,2016,AdPushUp,Technology,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,NA
1587,2016,Wefly Indoor Skydiving,Others,Mumbai,Swastika Company Ltd.,Seed Funding,"40,000"
1588,2016,Mojarto,eCommerce,Gurgaon,Undisclosed Investors,Seed Funding,"4,45,000"
1589,2016,Zipgrid,Consumer Internet,Mumbai,1Crowd (through crowd funding),Seed Funding,"2,00,000"
1590,2016,MobiDent,Healthcare,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,NA
1591,2016,Zeolr/RespirON,Technology,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,NA
1592,2016,Vebbler,Consumer Internet,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,"5,00,000"
1593,2016,Bombay Shaving Company,eCommerce,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,"6,00,000"
1594,2016,Travelyaari,Consumer Internet,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,"70,00,000"
1595,2016,91SpringBoard,Consumer Internet,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,NA
1596,2016,Genextstudents,Consumer Internet,Mumbai,1Crowd (through crowdfunding),Seed Funding,"2,09,000"
1597,2016,Zenoti,Technology,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,"1,50,00,000"
1598,2016,Crofarm,Technology,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,"15,00,000"
1599,2016,Faircent.com,Consumer Internet,Gurgaon,Brand Capital,Private Equity,"15,00,000"
1600,2016,Innovaccer,Technology,Noida,Westbridge Capital Partners,Private Equity,"1,56,00,000"
1601,2016,Cuberoot,Technology,Gurgaon,Undisclosed Investors,Seed Funding,"5,00,000"
1602,2016,Funcastic,Consumer Internet,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,NA
1603,2016,Buttercups,ECommerce,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,NA
1604,2016,Zappfresh,ECommerce,Gurgaon,Ashvin Chadha,Seed Funding,NA
1605,2016,OyoRooms,Consumer Internet,New Delhi,SoftBank Group,Private Equity,"6,20,00,000"
1606,2016,Hike,Consumer Internet,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,"17,50,00,000"
1607,2016,Joolz,eCommerce,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,"5,00,000"
1608,2016,SaleBhai,eCommerce,Ahmedabad,Brand Capital,Private Equity,"15,00,000"
1609,2016,Makkajai,Technology,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,"2,50,000"
1610,2016,Gradopedia,Consumer Internet,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,NA
1611,2016,MaalGaadi,Logistics,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,"3,75,000"
1612,2016,ZiPi,Technology,Bangalore,Swan Angel Network,Seed Funding,NA
1613,2016,Appknox,Technology,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,"6,75,000"
1614,2016,Pikkol,Logistics,Bangalore,Indian Angel Network,Seed Funding,NA
1615,2016,Meesho,eCommerce,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,NA
1616,2016,Sesame Software,Technology,Kozhikode,Speridian Technologies,Private Equity,NA
1617,2016,Quikr,Consumer Internet,Mumbai,Brand Capital,Private Equity,"2,00,00,000"
1618,2016,Digio,Technology,Bangalore,Rainmatter,Private Equity,"3,75,000"
1619,2016,Ziffity,Technology,Chennai,Aspire Systems,Private Equity,NA
1620,2016,Zzungry,Consumer Internet,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,NA
1621,2016,Puro Wellness,healthcare,Mumbai,Torrent Group,Private Equity,"3,70,00,000"
1622,2016,Fitternity,Consumer Internet,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,NA
1623,2016,TAC Security,Technology,New Delhi,Vijay Kedia,Seed Funding,NA
1624,2016,Notesgen,Consumer Internet,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,"1,00,000"
1625,2016,NearU,Consumer Internet,Mumbai,Dr. Goutam Challagalla,Seed Funding,NA
1626,2016,Octo.ai,Technology,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,"2,00,000"
1627,2016,ShaadiSaga,Consumer Internet,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,NA
1628,2016,UnaAcademy,Consumer Internet,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,  Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,"10,00,000"
1629,2016,Advenio,Technology,Chandigarh,Kalaari Capital,Seed Funding,"1,00,000"
1630,2016,Guarented,eCommerce,Bangalore,Kalaari Capital,Seed Funding,"5,00,000"
1631,2016,Beyond Evolution,Technology,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,NA
1632,2016,Uber Dreams,eCommerce,Mumbai,Mohit Lalvani,Seed Funding,"5,00,000"
1633,2016,Convegenius,Education,Noida,Michael and Susan Dell Foundation,Private Equity,"9,00,000"
1634,2016,UrbanLadder,eCommerce,Mumbai,Trifecta Capital,Private Equity,"30,00,000"
1635,2016,enCashea,Consumer Internet,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,NA
1636,2016,EngineerBabu,Technology,Indore,Scale Ventures,Seed Funding,NA
1637,2016,Cult,Healthcare,Bangalore,CureFit,Private Equity,"30,00,000"
1638,2016,WitWorks,Technology,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,NA
1639,2016,NearFox,Consumer Internet,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,  Arpan Nagdeve",Seed Funding,NA
1640,2016,ZoomCar,Consumer Internet,Bangalore,Ford Smart Mobility Llc,Private Equity,"2,40,00,000"
1641,2016,Plix,Consumer Internet,Gurgaon,Instalabs,Seed Funding,"5,00,000"
1642,2016,Mobikwik,Consumer Internet,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,"4,00,00,000"
1643,2016,MyDidi,Consumer Internet,Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,"5,50,000"
1644,2016,CrownIt,Consumer Internet,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,NA
1645,2016,LoanTap,Consumer Internet,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,"30,00,000"
1646,2016,Runnr,Consumer Internet,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,"70,00,000"
1647,2016,Zolo,Consumer Internet,Noida,Hitouch AG,Private Equity,NA
1648,2016,Notion Press,Consumer Internet,Chennai,Undisclosed HNI investors,Private Equity,"10,00,000"
1649,2016,LivSpace,Consumer Internet,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,"1,50,00,000"
1650,2016,iAugmentor Labs,Technology,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,"1,49,000"
1651,2016,DayBox,Consumer Internet,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,"1,04,000"
1652,2016,Paytm,eCommerce,Bangalore,MediaTek Inc.,Private Equity,"6,00,00,000"
1653,2016,CropIn,Technology,Bangalore,Sophia Investment ApS,Private Equity,"20,00,000"
